Presa	Predador	weight
Dipturus chilensis	PESCA	0.01
Eleginops maclovinus	PESCA	0.01
Engraulis anchoita	PESCA	0.01
Galeorhinus galeus	PESCA	0.01
Genypterus blacodes	PESCA	0.01
Illex argentinus	PESCA	0.01
Leurocyclus tuberculosus	PESCA	0.01
Libidoclaea granaria	PESCA	0.01
Lithodes santolla	PESCA	0.01
Macruronus magellanicus	PESCA	0.01
Merluccius hubbsi	PESCA	0.31
Munida gregaria	PESCA	0.03
Mustelus schmitti	PESCA	0.01
Myliobatis goodei	PESCA	0.01
Octopus tehuelchus	PESCA	0.01
Odontesthes spp	PESCA	0.01
Paralichthys spp	PESCA	0.01
Patagonotothen spp	PESCA	0.01
Peisos petrunkevitchi	PESCA	0.01
Peltarion spinosulum	PESCA	0.01
Percophis brasiliensis	PESCA	0.01
Pleoticus muelleri	PESCA	0.21
Polyprion americanus	PESCA	0.01
Porifera	PESCA	0.01
Psammobatis spp	PESCA	0.01
Pseudopercis semifasciata	PESCA	0.01
Raneya spp	PESCA	0.01
Schroederichthys bivius	PESCA	0.01
Scomber colias	PESCA	0.01
Sebastes oculatus	PESCA	0.01
Seriolella punctata	PESCA	0.02
Squalus acanthias	PESCA	0.01
Stromateus brasiliensis	PESCA	0.01
Sympterygia spp	PESCA	0.01
Urophycis brasiliensis            	PESCA	0.01
Xystreuris rasile	PESCA	0.01
Doryteuthis gahi	Phalacrocorax atriceps	0.02
Agonopsis chiloensis	Phalacrocorax atriceps	0.01
Betaeus truncatus	Phalacrocorax atriceps	0.05
Carcinus maenas	Phalacrocorax atriceps	0.05
Echiurids	Phalacrocorax atriceps	0.05
Eleginops maclovinus	Phalacrocorax atriceps	0.02
Engraulis anchoita	Phalacrocorax atriceps	0.2
Eunicidae	Phalacrocorax atriceps	0.01
Genypterus blacodes	Phalacrocorax atriceps	0.01
isopods	Phalacrocorax atriceps	0.01
Lithodes santolla	Phalacrocorax atriceps	0.01
Munida gregaria	Phalacrocorax atriceps	0.03
Octopus tehuelchus	Phalacrocorax atriceps	0.05
Odontesthes spp	Phalacrocorax atriceps	0.06
Patagonotothen spp	Phalacrocorax atriceps	0.12
Peltarion spinosulum	Phalacrocorax atriceps	0.03
Percophis brasiliensis	Phalacrocorax atriceps	0.01
Pleoticus muelleri	Phalacrocorax atriceps	0.01
Polychaeta	Phalacrocorax atriceps	0.06
Ramnogaster arcuata	Phalacrocorax atriceps	0.02
Raneya spp	Phalacrocorax atriceps	0.05
Ribeiroclinus eigenmanni	Phalacrocorax atriceps	0.06
Stromateus brasiliensis	Phalacrocorax atriceps	0.01
Merluccius hubbsi	Phalacrocorax atriceps	0.05
Doryteuthis gahi	Phalacrocorax magellanicus	0.06
Agonopsis chiloensis	Phalacrocorax magellanicus	0.01
Austropandalus grayi	Phalacrocorax magellanicus	0.08
Betaeus truncatus	Phalacrocorax magellanicus	0.02
Echiurids	Phalacrocorax magellanicus	0.07
Eleginops maclovinus	Phalacrocorax magellanicus	0.01
Engraulis anchoita	Phalacrocorax magellanicus	0.23
Genypterus blacodes	Phalacrocorax magellanicus	0.01
Lithodes santolla	Phalacrocorax magellanicus	0.01
Munida gregaria	Phalacrocorax magellanicus	0.01
Nemadactylus bergi	Phalacrocorax magellanicus	0.01
Octopus tehuelchus	Phalacrocorax magellanicus	0.06
Odontesthes spp	Phalacrocorax magellanicus	0.03
Patagonotothen spp	Phalacrocorax magellanicus	0.06
Peltarion spinosulum	Phalacrocorax magellanicus	0.02
Percophis brasiliensis	Phalacrocorax magellanicus	0.01
Pleoticus muelleri	Phalacrocorax magellanicus	0.01
Polychaeta	Phalacrocorax magellanicus	0.1
Ramnogaster arcuata	Phalacrocorax magellanicus	0.01
Raneya spp	Phalacrocorax magellanicus	0.02
Ribeiroclinus eigenmanni	Phalacrocorax magellanicus	0.14
Merluccius hubbsi	Phalacrocorax magellanicus	0.02
Eleginops maclovinus	Phalacrocorax olivaceus	0.5
Odontesthes spp	Phalacrocorax olivaceus	0.5
Aequipecten tehuelchus	Pinguipes brasilianus	0.15
Arbacia dufresnii	Pinguipes brasilianus	0.08
Aulacomya atra	Pinguipes brasilianus	0.12
Cyrtograpsus spp	Pinguipes brasilianus	0.01
Eunicidae	Pinguipes brasilianus	0.05
Eurypodius latreillii	Pinguipes brasilianus	0.15
Fissurella spp	Pinguipes brasilianus	0.01
isopods	Pinguipes brasilianus	0.05
Leucippa pentagona	Pinguipes brasilianus	0.08
Mytilus edulis	Pinguipes brasilianus	0.01
Nacella magellanica	Pinguipes brasilianus	0.01
Nereididae	Pinguipes brasilianus	0.01
Pagurus comptus	Pinguipes brasilianus	0.02
Pseudoechinus magellanicus	Pinguipes brasilianus	0.05
Ribeiroclinus eigenmanni	Pinguipes brasilianus	0.05
Triathalassothia argentina	Pinguipes brasilianus	0.05
Aphrodite	Pinguipes brasilianus	0.1
Merluccius hubbsi	Pleoticus muelleri	0.08
isopods	Pleoticus muelleri	0.03
Euphausiacea	Pleoticus muelleri	0.02
Pleoticus muelleri	Pleoticus muelleri	0.06
Peisos petrunkevitchi	Pleoticus muelleri	0.05
Copepoda	Pleoticus muelleri	0.01
Bivalve	Pleoticus muelleri	0.05
Gasteropods	Pleoticus muelleri	0.08
Semirossia tenera	Pleoticus muelleri	0.08
ophiuroids	Pleoticus muelleri	0.02
Pseudoechinus magellanicus	Pleoticus muelleri	0.06
Asteroidea	Pleoticus muelleri	0.02
Holothurians	Pleoticus muelleri	0.07
Nematoda	Pleoticus muelleri	0.01
Foraminifera	Pleoticus muelleri	0.01
Hydrozoa	Pleoticus muelleri	0.06
Bryozoa	Pleoticus muelleri	0.06
detritus	Pleoticus muelleri	0.03
zooplankton	Pleoticus muelleri	0.01
Amphipoda	Pleoticus muelleri	0.04
Aphrodite	Pleoticus muelleri	0.15
Amphipoda	Pleurobranchaea maculata	0.01
Cnidaria	Pleurobranchaea maculata	0.06
Ascidiacea	Pleurobranchaea maculata	0.15
Macroalgae 	Pleurobranchaea maculata	0.32
Mytilus edulis	Pleurobranchaea maculata	0.05
Nematoda	Pleurobranchaea maculata	0.05
Gasteropods	Pleurobranchaea maculata	0.01
Octopus tehuelchus	Pleurobranchaea maculata	0.01
Polychaeta	Pleurobranchaea maculata	0.32
Porifera	Pleurobranchaea maculata	0.02
detritus	Polychaeta	1
Polychaeta	Polyprion americanus	0.1
Munida gregaria	Polyprion americanus	0.2
Pterygosquilla armata armata	Polyprion americanus	0.1
Merluccius hubbsi	Polyprion americanus	0.6
POM	Porifera	1
Amphipoda	Procellaria aequinoctialis	0.06
Decapoda	Procellaria aequinoctialis	0.08
Gymnoscopelus nicholsi	Procellaria aequinoctialis	0.3
Illex argentinus	Procellaria aequinoctialis	0.1
Patagonotothen spp	Procellaria aequinoctialis	0.05
Merluccius hubbsi	Procellaria aequinoctialis	0.31
Euphausiacea	Procellaria aequinoctialis	0.1
Amphipoda	Psammobatis spp	0.05
isopods	Psammobatis spp	0.18
Leucippa pentagona	Psammobatis spp	0.04
Libidoclaea granaria	Psammobatis spp	0.12
Lithodes santolla	Psammobatis spp	0.03
Majidae	Psammobatis spp	0.01
Munida gregaria	Psammobatis spp	0.02
Octopus tehuelchus	Psammobatis spp	0.02
Patagonotothen spp	Psammobatis spp	0.02
Peltarion spinosulum	Psammobatis spp	0.2
Pleoticus muelleri	Psammobatis spp	0.04
Polychaeta	Psammobatis spp	0.2
Pterygosquilla armata armata	Psammobatis spp	0.02
Raneya spp	Psammobatis spp	0.02
Sprattus fuegensis	Psammobatis spp	0.03
biofilm	Pseudoechinus magellanicus	0.5
detritus	Pseudoechinus magellanicus	0.5
Aequipecten tehuelchus	Pseudopercis semifasciata	0.05
Arbacia dufresnii	Pseudopercis semifasciata	0.01
Engraulis anchoita	Pseudopercis semifasciata	0.08
Enteroctopus megalocyathus	Pseudopercis semifasciata	0.05
Eunicidae	Pseudopercis semifasciata	0.01
Fissurella spp	Pseudopercis semifasciata	0.01
Helcogrammoides cunninghami	Pseudopercis semifasciata	0.01
Illex argentinus	Pseudopercis semifasciata	0.05
Leurocyclus tuberculosus	Pseudopercis semifasciata	0.01
Macruronus magellanicus	Pseudopercis semifasciata	0.05
Munida gregaria	Pseudopercis semifasciata	0.02
Mytilus edulis	Pseudopercis semifasciata	0.1
Nemadactylus bergi	Pseudopercis semifasciata	0.01
Octopus tehuelchus	Pseudopercis semifasciata	0.01
Odontesthes spp	Pseudopercis semifasciata	0.05
Patagonotothen spp	Pseudopercis semifasciata	0.01
Peisos petrunkevitchi	Pseudopercis semifasciata	0.01
Peltarion spinosulum	Pseudopercis semifasciata	0.01
Pinguipes brasilianus	Pseudopercis semifasciata	0.05
Pleoticus muelleri	Pseudopercis semifasciata	0.01
Pseudopercis semifasciata	Pseudopercis semifasciata	0.1
Raneya spp	Pseudopercis semifasciata	0.01
Ribeiroclinus eigenmanni	Pseudopercis semifasciata	0.01
Rochinia gracilipes	Pseudopercis semifasciata	0.05
Sebastes oculatus	Pseudopercis semifasciata	0.05
Stromateus brasiliensis	Pseudopercis semifasciata	0.01
Triathalassothia argentina	Pseudopercis semifasciata	0.01
Merluccius hubbsi	Pseudopercis semifasciata	0.1
Aphrodite	Pseudopercis semifasciata	0.05
Munida gregaria	Pterygosquilla armata armata	0.43
Pleoticus muelleri	Pterygosquilla armata armata	0.45
Merluccius hubbsi	Pterygosquilla armata armata	0.12
Genypterus blacodes	Raja flavirostris	0.01
Libidoclaea granaria	Raja flavirostris	0.01
Libinia spinosa	Raja flavirostris	0.01
Munida gregaria	Raja flavirostris	0.08
Peltarion spinosulum	Raja flavirostris	0.06
Pterygosquilla armata armata	Raja flavirostris	0.15
Merluccius hubbsi	Raja flavirostris	0.64
Majidae	Raja flavirostris	0.01
Polychaeta	Raja flavirostris	0.01
Illex argentinus	Raja flavirostris	0.01
Enteroctopus megalocyathus	Raja flavirostris	0.01
Peisos petrunkevitchi	Ramnogaster arcuata	0.6
Copepoda	Ramnogaster arcuata	0.18
zooplankton	Ramnogaster arcuata	0.12
Decapoda	Ramnogaster arcuata	0.1
Amphipoda	Raneya spp	0.5
isopods	Raneya spp	0.5
POM	Renilla sp	1
Amphipoda	Ribeiroclinus eigenmanni	0.6
Ostracoda	Ribeiroclinus eigenmanni	0.1
Polychaeta	Ribeiroclinus eigenmanni	0.3
Amphipoda	Robsonella fontaniana	0.5
isopods	Robsonella fontaniana	0.5
detritus	Rochinia gracilipes	1
Amphipoda	Salilota australis	0.01
Majidae	Salilota australis	0.09
Munida gregaria	Salilota australis	0.45
Pleoticus muelleri	Salilota australis	0.01
Pterygosquilla armata armata	Salilota australis	0.4
Bivalve	Salilota australis	0.02
Polychaeta	Salilota australis	0.02
Doryteuthis gahi	Schroederichthys bivius	0.05
Engraulis anchoita	Schroederichthys bivius	0.02
Illex argentinus	Schroederichthys bivius	0.15
Majidae	Schroederichthys bivius	0.15
Munida gregaria	Schroederichthys bivius	0.03
Myxine spp	Schroederichthys bivius	0.06
Merluccius hubbsi	Schroederichthys bivius	0.21
Pleoticus muelleri	Schroederichthys bivius	0.06
Polychaeta	Schroederichthys bivius	0.06
Pterygosquilla armata armata	Schroederichthys bivius	0.12
Bivalve	Schroederichthys bivius	0.07
Echiurids	Schroederichthys bivius	0.02
Amphipoda	Scomber colias	0.3
Copepoda	Scomber colias	0.2
Engraulis anchoita	Scomber colias	0.05
isopods	Scomber colias	0.2
Odontesthes spp	Scomber colias	0.01
Ostracoda	Scomber colias	0.01
Polychaeta	Scomber colias	0.01
Stromateus brasiliensis	Scomber colias	0.01
Trachurus lathami	Scomber colias	0.01
zooplankton	Scomber colias	0.2
Munida gregaria	Sebastes oculatus	0.4
Pterygosquilla armata armata	Sebastes oculatus	0.2
Helcogrammoides cunninghami	Sebastes oculatus	0.1
Ribeiroclinus eigenmanni	Sebastes oculatus	0.1
Leurocyclus tuberculosus	Sebastes oculatus	0.1
Rochinia gracilipes	Sebastes oculatus	0.1
Amphipoda	Semirossia tenera	0.3
isopods	Semirossia tenera	0.3
zooplankton	Semirossia tenera	0.4
Euphausiacea	Seriolella porosa	0.5
Mnemiopsis leidyi	Seriolella porosa	0.09
Themisto gaudichaudii	Seriolella porosa	0.3
Semirossia tenera	Seriolella porosa	0.01
Octopus tehuelchus	Seriolella porosa	0.07
Polychaeta	Seriolella porosa	0.01
Decapoda	Seriolella porosa	0.01
Copepoda	Seriolella porosa	0.01
Amphipoda	Seriolella punctata	0.45
Octopus tehuelchus	Seriolella punctata	0.1
Pterygosquilla armata armata	Seriolella punctata	0.35
Merluccius hubbsi	Seriolella punctata	0.1
Doryteuthis gahi	Spheniscus magellanicus	0.04
Artemesia longinaris	Spheniscus magellanicus	0.01
Eleginops maclovinus	Spheniscus magellanicus	0.01
Engraulis anchoita	Spheniscus magellanicus	0.45
Illex argentinus	Spheniscus magellanicus	0.01
Munida gregaria	Spheniscus magellanicus	0.01
Myxine spp	Spheniscus magellanicus	0.01
Octopus tehuelchus	Spheniscus magellanicus	0.02
Odontesthes spp	Spheniscus magellanicus	0.01
Patagonotothen spp	Spheniscus magellanicus	0.01
Peisos petrunkevitchi	Spheniscus magellanicus	0.16
Semirossia tenera	Spheniscus magellanicus	0.01
Merluccius hubbsi	Spheniscus magellanicus	0.25
Chaetognatha	Sprattus fuegensis	0.5
Copepoda	Sprattus fuegensis	0.5
Engraulis anchoita	Squalus acanthias	0.03
Enteroctopus megalocyathus	Squalus acanthias	0.01
Illex argentinus	Squalus acanthias	0.21
Mnemiopsis leidyi	Squalus acanthias	0.01
Munida gregaria	Squalus acanthias	0.01
Pleoticus muelleri	Squalus acanthias	0.04
Polychaeta	Squalus acanthias	0.01
Majidae	Squalus acanthias	0.05
Merluccius hubbsi	Squalus acanthias	0.6
Echiurids	Squalus acanthias	0.03
Cheilodactylus bergi	Squatina guggenheim	0.05
Cynoscion guatucupa	Squatina guggenheim	0.35
Paralichthys spp	Squatina guggenheim	0.02
Engraulis anchoita	Squatina guggenheim	0.2
Illex argentinus	Squatina guggenheim	0.01
Trachurus lathami	Squatina guggenheim	0.04
Doryteuthis sanpaulensis	Squatina guggenheim	0.01
Pleoticus muelleri	Squatina guggenheim	0.11
Artemesia longinaris	Squatina guggenheim	0.01
Raneya spp	Squatina guggenheim	0.2
Engraulis anchoita	Sterna hirundinacea	0.43
Illex argentinus	Sterna hirundinacea	0.05
Octopus tehuelchus	Sterna hirundinacea	0.01
Odontesthes spp	Sterna hirundinacea	0.25
Pleoticus muelleri	Sterna hirundinacea	0.03
Polychaeta	Sterna hirundinacea	0.01
Seriolella porosa	Sterna hirundinacea	0.2
Stromateus brasiliensis	Sterna hirundinacea	0.02
Mnemiopsis leidyi	Stromateus brasiliensis	0.5
Pleoticus muelleri	Stromateus brasiliensis	0.3
Polychaeta	Stromateus brasiliensis	0.2
Majidae	Sympterygia spp	0.1
Munida gregaria	Sympterygia spp	0.1
Polychaeta	Sympterygia spp	0.05
Pleoticus muelleri	Sympterygia spp	0.05
Pterygosquilla armata armata	Sympterygia spp	0.2
Merluccius hubbsi	Sympterygia spp	0.2
Engraulis anchoita	Sympterygia spp	0.1
Peltarion spinosulum	Sympterygia spp	0.2
Amphipoda	Tachyeres leucocephalus	0.01
Asteroidea	Tachyeres leucocephalus	0.01
Aulacomya atra	Tachyeres leucocephalus	0.1
Betaeus truncatus	Tachyeres leucocephalus	0.01
chiton	Tachyeres leucocephalus	0.01
Gasteropods	Tachyeres leucocephalus	0.01
Cyrtograpsus spp	Tachyeres leucocephalus	0.02
isopods	Tachyeres leucocephalus	0.03
Bivalve	Tachyeres leucocephalus	0.08
Mytilus edulis	Tachyeres leucocephalus	0.05
Nacella magellanica	Tachyeres leucocephalus	0.01
Nereididae	Tachyeres leucocephalus	0.01
Perumytilus purpuratus	Tachyeres leucocephalus	0.55
Trophon geversianus	Tachyeres leucocephalus	0.1
biofilm	Tegula patagonica	1
Cynoscion guatucupa	Thalassarche melanophris	0.03
Illex argentinus	Thalassarche melanophris	0.1
Octopus tehuelchus	Thalassarche melanophris	0.1
Decapoda	Thalassarche melanophris	0.1
Merluccius hubbsi	Thalassarche melanophris	0.1
Engraulis anchoita	Thalassarche melanophris	0.4
Urophycis brasiliensis            	Thalassarche melanophris	0.15
Doryteuthis sanpaulensis	Thalassarche melanophris	0.02
Cynoscion guatucupa	Thalasseus maximus	0.01
Engraulis anchoita	Thalasseus maximus	0.65
Odontesthes spp	Thalasseus maximus	0.22
Pleoticus muelleri	Thalasseus maximus	0.01
Seriolella porosa	Thalasseus maximus	0.01
Sprattus fuegensis	Thalasseus maximus	0.01
Raneya spp	Thalasseus maximus	0.01
Stromateus brasiliensis	Thalasseus maximus	0.08
zooplankton	Themisto gaudichaudii	1
isopods	Trachurus lathami	1
Amphipoda	Triathalassothia argentina	0.5
isopods	Triathalassothia argentina	0.5
biofilm	Trophon geversianus	0.5
detritus	Trophon geversianus	0.5
Balanus spp	Urophycis brasiliensis            	0.07
Cyrtograpsus spp	Urophycis brasiliensis            	0.5
Mysidacea	Urophycis brasiliensis            	0.07
Mytilus edulis	Urophycis brasiliensis            	0.07
Gasteropods	Urophycis brasiliensis            	0.29
Illex argentinus	Xystreuris rasile	0.1
Decapoda	Xystreuris rasile	0.2
Munida gregaria	Xystreuris rasile	0.2
Pleoticus muelleri	Xystreuris rasile	0.2
Pterygosquilla armata armata	Xystreuris rasile	0.3
Doryteuthis gahi	Zearaja chilensis	0.01
Agonopsis chiloensis	Zearaja chilensis	0.01
Ascidiacea	Zearaja chilensis	0.01
Austropandalus grayi	Zearaja chilensis	0.02
Bassanago albescens	Zearaja chilensis	0.02
Bathyraja spp	Zearaja chilensis	0.02
Cheilodactylus bergi	Zearaja chilensis	0.01
Congiopodus peruvianus	Zearaja chilensis	0.02
Cottoperca gobio	Zearaja chilensis	0.01
Discopyge tschudii	Zearaja chilensis	0.03
Eunicidae	Zearaja chilensis	0.01
Euphausiacea	Zearaja chilensis	0.01
Genypterus blacodes	Zearaja chilensis	0.05
Glyceridae	Zearaja chilensis	0.01
Hydrozoa	Zearaja chilensis	0.01
Illex argentinus	Zearaja chilensis	0.05
isopods	Zearaja chilensis	0.01
Libidoclaea granaria	Zearaja chilensis	0.01
Macruronus magellanicus	Zearaja chilensis	0.05
Munida gregaria	Zearaja chilensis	0.06
Myxine spp	Zearaja chilensis	0.01
Octopus tehuelchus	Zearaja chilensis	0.01
Odontocymbiola magellanica	Zearaja chilensis	0.01
Pagurus comptus	Zearaja chilensis	0.01
Paralichthys spp	Zearaja chilensis	0.05
Patagonotothen spp	Zearaja chilensis	0.03
Peisos petrunkevitchi	Zearaja chilensis	0.01
Peltarion spinosulum	Zearaja chilensis	0.02
Pleoticus muelleri	Zearaja chilensis	0.01
Polychaeta	Zearaja chilensis	0.02
Pterygosquilla armata armata	Zearaja chilensis	0.01
Raneya spp	Zearaja chilensis	0.02
Schroederichthys bivius	Zearaja chilensis	0.08
Semirossia tenera	Zearaja chilensis	0.01
Themisto gaudichaudii	Zearaja chilensis	0.01
Zearaja chilensis	Zearaja chilensis	0.01
Merluccius hubbsi	Zearaja chilensis	0.25
phytoplankton	zooplankton	1
POM	Austropandalus grayi	0.3
detritus	Austropandalus grayi	0.3
zooplankton	Austropandalus grayi	0.4
